source_paper,figure_ref,surface_id,surface_label,fluid,delta_T_wall,delta_T_sub,q_flux,Ra_um,theta_deg,category,notes
BETZ_2013,Fig4_Hydrophilic,SFC-001,BETZ_Hydrophilic,water,10.4049,0.0,171745.15,0.001,20.0,betz,ONB_manual (preserved)
BETZ_2013,Fig4_Hydrophobic,SFC-002,BETZ_Hydrophobic,water,3.1478,0.0,301939.06,0.001,115.0,betz,ONB_manual (preserved)
BETZ_2013,Fig4_SHPi,SFC-003,BETZ_SHPi,water,3.4818,0.0,253462.6,0.001,0.0,betz,ONB_manual (preserved)
BETZ_2013,Fig4_SHPo,SFC-004,BETZ_SHPo,water,3.5729,0.0,198060.94,0.001,158.0,betz,FLAG: non-monotonic at idx 4; ONB_manual (preserved)
BETZ_2013,Fig6b_Biphilic,SFC-005,BETZ_Biphilic,water,3.5431,0.0,29221.92,0.001,70.0,betz,ONB_manual (preserved)
BETZ_2013,Fig6b_Superbiphiliccircle,SFC-006,BETZ_SBPi_circle,water,0.6825,0.0,161431.59,0.001,75.0,betz,"WARN: delta_T=0.68 out of [2,30] K range; ONB_manual (preserved)"
BETZ_2013,Fig6b_Superbiphilichexagon,SFC-007,BETZ_SBPi_hex,water,1.4231,0.0,181560.42,0.001,75.0,betz,"WARN: delta_T=1.42 out of [2,30] K range; ONB_manual (preserved)"
BETZ_2013,Fig6b_Superhydrophilic,SFC-003,BETZ_SHPi,water,3.0565,0.0,57210.01,0.001,0.0,betz,ONB_manual (preserved)
BETZ_2013,Fig6b_hydrophilic,SFC-001,BETZ_Hydrophilic,water,15.4381,0.0,68671.06,0.001,20.0,betz,ONB_manual (preserved)
BETZ_2013,Fig7b_Biphilic,SFC-005,BETZ_Biphilic,water,4.4942,0.0,224795.05,0.001,70.0,betz,ONB_manual (preserved)
BOURDON_2012,Fig4_S1,SFC-021,BOURDON12_S1,water,8.9389,0.0,2972.62,0.0097,0.0,bourdon12,ONB_manual (was idx=16)
BOURDON_2012,Fig4_S2,SFC-022,BOURDON12_S2,water,10.9894,0.0,3220.07,0.0086,0.0,bourdon12,ONB_manual (was idx=7)
BOURDON_2012,Fig4_S3,SFC-023,BOURDON12_S3,water,12.6333,0.0,2981.08,0.0076,0.0,bourdon12,ONB_manual (was idx=7)
BOURDON_2012,Fig6_grafted_center,SFC-025,BOURDON12_S1_grafted_C,water,5.2071,0.0,1563.15,0.0097,108.0,bourdon12,ONB_manual (was idx=7)
BOURDON_2012,Fig6_grafted_whole,SFC-024,BOURDON12_S1_grafted,water,5.1673,0.0,1984.04,0.0097,108.0,bourdon12,ONB_manual (was idx=10)
BOURDON_2012,Fig6_ungrafted,SFC-021,BOURDON12_S1,water,8.9402,0.0,2643.57,0.0097,0.0,bourdon12,ONB_manual (was idx=8)
BOURDON_2015,Fig3_ONB_vs_theta,SFC-029,BOURDON15_OTS,water,2.6,0.0,15000.0,0.00043,101.6,bourdon15,theta_contact=101.6deg; ONB_diagram_point
BOURDON_2015,Fig3_ONB_vs_theta,SFC-028,BOURDON15_AcOUTES,water,4.5043,0.0,15000.0,0.00043,70.8,bourdon15,theta_contact=70.8deg; ONB_diagram_point
BOURDON_2015,Fig3_ONB_vs_theta,SFC-027,BOURDON15_MPEGPTMS,water,9.3826,0.0,15000.0,0.00043,33.5,bourdon15,theta_contact=33.5deg; ONB_diagram_point
BOURDON_2015,Fig3_ONB_vs_theta,SFC-026,BOURDON15_NotGrafted,water,18.4348,0.0,15000.0,0.00043,11.1,bourdon15,theta_contact=11.1deg; ONB_diagram_point
BOURDON_2015,Fig7_OTS,SFC-029,BOURDON15_OTS,water,5.0306,0.0,8941.61,0.00043,101.6,bourdon15,ONB_manual (was idx=2)
JABARDO_2009,Fig10a_Br_Ra0p08P,SFC-039,JABARDO_Br_Ra0p08P,R-134a,6.1788,0.0,4535.87,0.08,,jabardo_br,"ONB_auto (hint=[5.0,18.0]K)"
JABARDO_2009,Fig10a_Br_Ra0p90SP,SFC-040,JABARDO_Br_Ra0p90SP,R-134a,3.4611,0.0,5485.45,0.9,,jabardo_br,"ONB_auto (hint=[3.0,12.0]K)"
JABARDO_2009,Fig10a_Br_Ra1p2SPI,SFC-041,JABARDO_Br_Ra1p2SPI,R-134a,2.4645,0.0,1878.98,1.2,,jabardo_br,"ONB_auto (hint=[2.0,10.0]K)"
JABARDO_2009,Fig10a_Br_Ra1p8SPI,SFC-042,JABARDO_Br_Ra1p8SPI,R-134a,2.0743,0.0,5727.61,1.8,,jabardo_br,"ONB_auto (hint=[2.0,10.0]K)"
JABARDO_2009,Fig10a_Br_Ra3p5SPI,SFC-043,JABARDO_Br_Ra3p5SPI,R-134a,2.0715,0.0,8092.22,3.5,,jabardo_br,"ONB_auto (hint=[2.0,8.0]K)"
JABARDO_2009,Fig10b_Br_Ra0p08P,SFC-039,JABARDO_Br_Ra0p08P,R-134a,3.3283,0.0,7368.64,0.08,,jabardo_br,ONB_manual (was idx=None)
JABARDO_2009,Fig10b_Br_Ra0p90SP,SFC-040,JABARDO_Br_Ra0p90SP,R-134a,2.052,0.0,7625.25,0.9,,jabardo_br,ONB_manual (was idx=None)
JABARDO_2009,Fig10b_Br_Ra1p2SPI,SFC-041,JABARDO_Br_Ra1p2SPI,R-134a,1.7307,0.0,5387.03,1.2,,jabardo_br,"WARN: delta_T=1.73 out of [2,30] K range; ONB_manual (was idx=None)"
JABARDO_2009,Fig10b_Br_Ra1p8SPI,SFC-042,JABARDO_Br_Ra1p8SPI,R-134a,1.2353,0.0,5431.09,1.8,,jabardo_br,"WARN: delta_T=1.24 out of [2,30] K range; ONB_manual (was idx=None)"
JABARDO_2009,Fig10b_Br_Ra3p5SPI,SFC-043,JABARDO_Br_Ra3p5SPI,R-134a,1.1842,0.0,7924.54,3.5,,jabardo_br,"WARN: delta_T=1.18 out of [2,30] K range; ONB_manual (was idx=None)"
JABARDO_2009,Fig10c_SS_Ra0p03P,SFC-044,JABARDO_SS_Ra0p03P,R-134a,6.55,0.0,4033.78,0.03,,jabardo_ss,"ONB_auto (hint=[6.0,20.0]K)"
JABARDO_2009,Fig10c_SS_Ra0p07SP,SFC-045,JABARDO_SS_Ra0p07SP,R-134a,5.4483,0.0,3270.79,0.07,,jabardo_ss,"ONB_auto (hint=[5.0,18.0]K)"
JABARDO_2009,Fig10c_SS_Ra0p45SP,SFC-046,JABARDO_SS_Ra0p45SP,R-134a,4.7613,0.0,4495.71,0.45,,jabardo_ss,"ONB_auto (hint=[4.0,14.0]K)"
