surface_id,surface_label,fluid,category,source_paper,Ra_um,theta_deg,delta_T_wall_K,q_flux_W_m2,r_c_min_um,r_c_max_um,r_c_geomean_um,no_solution
SFC-001,BETZ_Hydrophilic,water,betz,BETZ_2013,0.001,20.0,10.4049,171745.15,0.061007902149222366,40.966098866624606,1.58090346039548,False
SFC-002,BETZ_Hydrophobic,water,betz,BETZ_2013,0.001,115.0,3.1478,301939.06,0.061452076645106164,6.998557578581884,0.6558017205864913,False
SFC-003,BETZ_SHPi,water,betz,BETZ_2013,0.001,0.0,3.4818,253462.6,0.06132140153657364,9.241343946957237,0.7527895874073637,False
SFC-004,BETZ_SHPo,water,betz,BETZ_2013,0.001,158.0,3.5729,198060.94,0.06122401698970728,12.155070316754058,0.862659974488232,False
SFC-005,BETZ_Biphilic,water,betz,BETZ_2013,0.001,70.0,3.5431,29221.92,0.06096244439809605,82.04829509965816,2.236484882124511,False
SFC-006,BETZ_SBPi_circle,water,betz,BETZ_2013,0.001,75.0,0.6825,161431.59,0.06227158664312737,2.8007959588166353,0.41762424285375377,False
SFC-007,BETZ_SBPi_hex,water,betz,BETZ_2013,0.001,75.0,1.4231,181560.42,0.061632818810857075,5.24637681662584,0.5686378388329267,False
SFC-003,BETZ_SHPi,water,betz,BETZ_2013,0.001,0.0,3.0565,57210.01,0.06102009686747437,36.11908624870569,1.4845841645594509,False
SFC-001,BETZ_Hydrophilic,water,betz,BETZ_2013,0.001,20.0,15.4381,68671.06,0.06094157689652695,152.18213831248713,3.0453603209223594,False
SFC-005,BETZ_Biphilic,water,betz,BETZ_2013,0.001,70.0,4.4942,224795.05,0.06119376921592759,13.47769792919226,0.908158101126107,False
SFC-021,BOURDON12_S1,water,bourdon12,BOURDON_2012,0.0097,0.0,8.9389,2972.62,0.06091900491382928,2036.3346623227642,11.137840064403932,False
SFC-022,BOURDON12_S2,water,bourdon12,BOURDON_2012,0.0086,0.0,10.9894,3220.07,0.060918788259157676,2311.0784271855246,11.865416021194626,False
SFC-023,BOURDON12_S3,water,bourdon12,BOURDON_2012,0.0076,0.0,12.6333,2981.08,0.060918475630763365,2869.798618755621,13.222093526437584,False
SFC-025,BOURDON12_S1_grafted_C,water,bourdon12,BOURDON_2012,0.0097,108.0,5.2071,1563.15,0.06091882760749403,2255.8021056777175,11.722662649432632,False
SFC-024,BOURDON12_S1_grafted,water,bourdon12,BOURDON_2012,0.0097,108.0,5.1673,1984.04,0.06091928667552758,1763.663448622882,10.365380804669309,False
SFC-021,BOURDON12_S1,water,bourdon12,BOURDON_2012,0.0097,0.0,8.9402,2643.57,0.060918802939459,2290.141570257895,11.811548713949577,False
SFC-029,BOURDON15_OTS,water,bourdon15,BOURDON_2015,0.00043,101.6,2.6,15000.0,0.06094882941571944,117.32052320638537,2.6740509635885656,False
SFC-028,BOURDON15_AcOUTES,water,bourdon15,BOURDON_2015,0.00043,70.8,4.5043,15000.0,0.060935441911326105,203.2934355161113,3.519627157931067,False
SFC-027,BOURDON15_MPEGPTMS,water,bourdon15,BOURDON_2015,0.00043,33.5,9.3826,15000.0,0.06092594556207397,423.53268925563304,5.079776527500742,False
SFC-026,BOURDON15_NotGrafted,water,bourdon15,BOURDON_2015,0.00043,11.1,18.4348,15000.0,0.060921641936816165,832.2098324679039,7.1203644169317215,False
SFC-029,BOURDON15_OTS,water,bourdon15,BOURDON_2015,0.00043,101.6,5.0306,8941.61,0.06092692561133031,380.9360462726207,4.81759921059507,False
SFC-039,JABARDO_Br_Ra0p08P,R-134a,jabardo_br,JABARDO_2009,0.08,,6.1788,4535.87,0.008842018799108018,115.95330409533791,1.0125518725624216,False
