surface_id,surface_label,n_obs,Ra_um,theta_deg,fluid,category,source_paper,r_c_min_um,r_c_max_um,r_c_geomean_um,r_c_std_um,r_c_range_lo_um,r_c_range_hi_um,n_valid
SFC-001,BETZ_Hydrophilic,2,0.001,20.0,water,betz,BETZ_2013,0.06097473952287466,96.57411858955587,2.3131318906589198,0.7322284302634398,0.06094157689652695,152.18213831248713,2
SFC-002,BETZ_Hydrophobic,1,0.001,115.0,water,betz,BETZ_2013,0.061452076645106164,6.998557578581884,0.6558017205864913,,0.061452076645106164,6.998557578581884,1
SFC-003,BETZ_SHPi,2,0.001,0.0,water,betz,BETZ_2013,0.061170749202024005,22.680215097831464,1.1186868759834072,0.36589728857604364,0.06102009686747437,36.11908624870569,2
SFC-004,BETZ_SHPo,1,0.001,158.0,water,betz,BETZ_2013,0.06122401698970728,12.155070316754058,0.862659974488232,,0.06122401698970728,12.155070316754058,1
SFC-005,BETZ_Biphilic,2,0.001,70.0,water,betz,BETZ_2013,0.06107810680701182,47.76299651442521,1.572321491625309,0.664163390499202,0.06096244439809605,82.04829509965816,2
SFC-006,BETZ_SBPi_circle,1,0.001,75.0,water,betz,BETZ_2013,0.06227158664312737,2.8007959588166353,0.41762424285375377,,0.06227158664312737,2.8007959588166353,1
SFC-007,BETZ_SBPi_hex,1,0.001,75.0,water,betz,BETZ_2013,0.061632818810857075,5.24637681662584,0.5686378388329267,,0.061632818810857075,5.24637681662584,1
SFC-021,BOURDON12_S1,2,0.0097,0.0,water,bourdon12,BOURDON_2012,0.06091890392664414,2163.23811629033,11.474694389176754,0.3368543247728226,0.060918802939459,2290.141570257895,2
SFC-022,BOURDON12_S2,1,0.0086,0.0,water,bourdon12,BOURDON_2012,0.060918788259157676,2311.0784271855246,11.865416021194626,,0.060918788259157676,2311.0784271855246,1
SFC-023,BOURDON12_S3,1,0.0076,0.0,water,bourdon12,BOURDON_2012,0.060918475630763365,2869.798618755621,13.222093526437584,,0.060918475630763365,2869.798618755621,1
SFC-025,BOURDON12_S1_grafted_C,1,0.0097,108.0,water,bourdon12,BOURDON_2012,0.06091882760749403,2255.8021056777175,11.722662649432632,,0.06091882760749403,2255.8021056777175,1
SFC-024,BOURDON12_S1_grafted,1,0.0097,108.0,water,bourdon12,BOURDON_2012,0.06091928667552758,1763.663448622882,10.365380804669309,,0.06091928667552758,1763.663448622882,1
SFC-029,BOURDON15_OTS,2,0.00043,101.6,water,bourdon15,BOURDON_2015,0.06093787751352488,249.12828473950302,3.7458250870918177,1.071774123503252,0.06092692561133031,380.9360462726207,2
SFC-028,BOURDON15_AcOUTES,1,0.00043,70.8,water,bourdon15,BOURDON_2015,0.060935441911326105,203.2934355161113,3.519627157931067,,0.060935441911326105,203.2934355161113,1
SFC-027,BOURDON15_MPEGPTMS,1,0.00043,33.5,water,bourdon15,BOURDON_2015,0.06092594556207397,423.53268925563304,5.079776527500742,,0.06092594556207397,423.53268925563304,1
SFC-026,BOURDON15_NotGrafted,1,0.00043,11.1,water,bourdon15,BOURDON_2015,0.060921641936816165,832.2098324679039,7.1203644169317215,,0.060921641936816165,832.2098324679039,1
SFC-039,JABARDO_Br_Ra0p08P,2,0.08,,R-134a,jabardo_br,JABARDO_2009,0.008842698648413281,77.19773886026222,0.7978058196733502,0.21474605288907145,0.008842018799108018,115.95330409533791,2
SFC-040,JABARDO_Br_Ra0p90SP,2,0.9,,R-134a,jabardo_br,JABARDO_2009,0.00884377995049205,38.30159041208041,0.5695843944302086,0.11953814529702739,0.008842800413595869,53.7035613774534,2
SFC-041,JABARDO_Br_Ra1p2SPI,2,1.2,,R-134a,jabardo_br,JABARDO_2009,0.008843124726752655,69.49342547007802,0.7426532625426152,0.2509175939037665,0.008842044808768351,111.6464650575669,2
SFC-042,JABARDO_Br_Ra1p8SPI,2,1.8,,R-134a,jabardo_br,JABARDO_2009,0.008844633523779403,25.087236665300825,0.46791962740162585,0.05416941226579472,0.008843881570482463,30.820965112265686,2
SFC-043,JABARDO_Br_Ra3p5SPI,2,3.5,,R-134a,jabardo_br,JABARDO_2009,0.008846216337325933,17.247510785784666,0.38715324863940725,0.05178572106137025,0.008844934642463874,21.782797376138667,2
SFC-044,JABARDO_SS_Ra0p03P,2,0.03,,R-134a,jabardo_ss,JABARDO_2009,0.008842588319812876,89.45182961330575,0.8526548342365972,0.2528485019740115,0.008841910177662895,138.22099544284478,2
SFC-045,JABARDO_SS_Ra0p07SP,2,0.07,,R-134a,jabardo_ss,JABARDO_2009,0.008842449471225667,94.46835320994647,0.8826841924462812,0.23701067549635818,0.00884189593001387,141.79273395893924,2
SFC-046,JABARDO_SS_Ra0p45SP,2,0.45,,R-134a,jabardo_ss,JABARDO_2009,0.008842929730147532,62.04938781413691,0.7203788020212385,0.17243139221298004,0.008842211807586929,90.14826383649783,2
SFC-047,JABARDO_SS_Ra0p90SPI,2,0.9,,R-134a,jabardo_ss,JABARDO_2009,0.008842874592480805,95.23300645665093,0.8540983696952413,0.3355323909730776,0.008841833005679749,160.0597235685388,2
SFC-048,JABARDO_SS_Ra1p45SPI,2,1.45,,R-134a,jabardo_ss,JABARDO_2009,0.008843204629024007,50.50871138227718,0.6534989647579634,0.13993645569987845,0.008842442696754759,71.19523281368372,2
SFC-049,JABARDO_SS_Ra2p50SPI,2,2.5,,R-134a,jabardo_ss,JABARDO_2009,0.008843402844849888,40.06188129892227,0.5912996300898137,0.06814567493304008,0.008842934442947504,49.17690084918639,2
SFC-050,JABARDO_SS_Ra3p20SPI,2,3.2,,R-134a,jabardo_ss,JABARDO_2009,0.008843304061596401,41.725917164465756,0.6040836474833827,0.0638306042917196,0.00884289436713048,50.4483519991495,2
SFC-032,JABARDO_Cu_Ra0p16SP,2,0.16,,R-123,jabardo,JABARDO_2009,0.04880825434345658,244.5761897442993,3.3332689497754826,0.9087507730225539,0.04880159325084498,368.73245584653046,2
SFC-033,JABARDO_Cu_Ra0p47SP,2,0.47,,R-123,jabardo,JABARDO_2009,0.048813807747742605,200.08485841579943,2.9634890757919097,0.9916058182190635,0.048802564535962024,320.5318361723531,2
SFC-038,JABARDO_Cu_Ra10p5SPI,4,10.5,,R-123,jabardo,JABARDO_2009,0.028829582792257023,86.97885744671595,1.5472646996385868,0.9106615321436722,0.008842775447085772,158.1371426687596,4
SFC-036,JABARDO_Cu_Ra3p3SPI,2,3.3,,R-123,jabardo,JABARDO_2009,0.04883044213059613,181.80310937292592,2.6724002664793254,1.3159661133921994,0.04880244106354263,325.9481704896254,2
